trackName,artist,album,trackID,trackURL,valence,energy
24K Magic,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,0.632,0.803
Never Gonna Give You Up,Rick Astley,Platinum & Gold Collection,0FutrWIUM5Mg3434asiwkp,https://api.spotify.com/v1/tracks/0FutrWIUM5Mg3434asiwkp,0.937,0.976
Hurt,Johnny Cash,Unearthed,5rpRzNcJZqKQXk9PIjreB6,https://api.spotify.com/v1/tracks/5rpRzNcJZqKQXk9PIjreB6,0.169,0.376
Shellshock,New Order,Pretty In Pink,3VcjzN7bW4TwCG8bfzExfS,https://api.spotify.com/v1/tracks/3VcjzN7bW4TwCG8bfzExfS,0.696,0.793
I Predict A Riot,Kaiser Chiefs,Employment,6q0HeADAxsP27jDJQSKaCB,https://api.spotify.com/v1/tracks/6q0HeADAxsP27jDJQSKaCB,0.397,0.982
What A Wonderful World - Single Version,Louis Armstrong,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/tracks/29U7stRjqHU6rMiS8BfaI9,0.209,0.169
God Save The Queen,Sex Pistols,"Never Mind The Bollocks, Here's The Sex Pistols",6ui6l3ZNvlrGQZArwo8195,https://api.spotify.com/v1/tracks/6ui6l3ZNvlrGQZArwo8195,0.483,0.908
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,0.944,0.869
Where the Wild Roses Grow - 2011 Remastered Version,Nick Cave & The Bad Seeds,Murder Ballads (2011 Remastered Version),3OwtuzRo8mc7lgsBau9MWk,https://api.spotify.com/v1/tracks/3OwtuzRo8mc7lgsBau9MWk,0.163,0.47
White Riot,The Clash,The Clash,0brrVj6VnvrG70SjRTnEJA,https://api.spotify.com/v1/tracks/0brrVj6VnvrG70SjRTnEJA,0.605,0.974
Love Will Tear Us Apart - 2010 Remastered Version,Joy Division,Substance,1r8oPEXqnhUVgkUkJNqEuF,https://api.spotify.com/v1/tracks/1r8oPEXqnhUVgkUkJNqEuF,0.907,0.902
Vienna - 2008 Remaster,Ultravox,Vienna (Remastered Definitive Edition),0842N1NhR1Q1XS6XyyQ3Nl,https://api.spotify.com/v1/tracks/0842N1NhR1Q1XS6XyyQ3Nl,0.334,0.583
Livin' On A Prayer,Bon Jovi,Slippery When Wet,0J6mQxEZnlRt9ymzFntA6z,https://api.spotify.com/v1/tracks/0J6mQxEZnlRt9ymzFntA6z,0.72,0.887
React,Jurassic 5,Power In Numbers,3FfDU18VhUVvC9AwnkfJCf,https://api.spotify.com/v1/tracks/3FfDU18VhUVvC9AwnkfJCf,0.91,0.536
Despacito - Remix,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,0.813,0.815
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,0.728,0.906
Chop Suey!,System Of A Down,Toxicity,2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,0.286,0.934
Galvanize,The Chemical Brothers,Push The Button,4bz7uB4edifWKJXSDxwHcs,https://api.spotify.com/v1/tracks/4bz7uB4edifWKJXSDxwHcs,0.365,0.714
True Love Waits,Radiohead,A Moon Shaped Pool,01ZpFhrMMqKPVCwyqXneVp,https://api.spotify.com/v1/tracks/01ZpFhrMMqKPVCwyqXneVp,0.0379,0.132
Pedestrian at Best,Courtney Barnett,"Sometimes I Sit and Think, And Sometimes I Just Sit",7uoQRNx100em2FLLxnqym0,https://api.spotify.com/v1/tracks/7uoQRNx100em2FLLxnqym0,0.535,0.854
Bullet With Butterfly Wings,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness (2012 - Remaster),4qMzPtAZe0C9KWpWIzvZAP,https://api.spotify.com/v1/tracks/4qMzPtAZe0C9KWpWIzvZAP,0.475,0.72
Ziggy Stardust - 2012 Remastered Version,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),5IyL3XOaRPpTgxVjRIAxXU,https://api.spotify.com/v1/tracks/5IyL3XOaRPpTgxVjRIAxXU,0.506,0.554
I Ran (So Far Away),A Flock Of Seagulls,A Flock Of Seagulls,4OdhffpvG3HxDJMxYOKh97,https://api.spotify.com/v1/tracks/4OdhffpvG3HxDJMxYOKh97,0.631,0.642
Royals,Lorde,Pure Heroine,2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,0.302,0.432
Hey Ya! - Radio Mix / Club Mix,OutKast,Speakerboxxx/The Love Below,2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,0.965,0.974
House Of The Rising Sun,The Animals,The Animals,7BY005dacJkbO6EPiOh2wb,https://api.spotify.com/v1/tracks/7BY005dacJkbO6EPiOh2wb,0.28,0.583
Unchained Melody,The Righteous Brothers,The Very Best Of The Righteous Brothers - Unchained Melody,1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS,0.266,0.215
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock,39shmbIHICJ2Wxnk1fPSdz,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=6f49983391014a5a99a289c59c92d0af,0.816,0.833
